0000000000000000|0|0|0|0
0000000000000001|0|0|0|0
8000000000000000|0|0|0|0
7ff0000000000000|-9223372036854775808|-9223372036854775808|-9223372036854775808|-9223372036854775808
fff0000000000000|-9223372036854775808|-9223372036854775808|-9223372036854775808|-9223372036854775808
7ff8000000000000|-9223372036854775808|-9223372036854775808|-9223372036854775808|-9223372036854775808
fff8000000000001|-9223372036854775808|-9223372036854775808|-9223372036854775808|-9223372036854775808
3feffffffffffffc|0|0|1|1
3feffffffffffffd|0|0|1|1
3feffffffffffffe|0|0|1|1
3fefffffffffffff|0|0|1|1
3ff0000000000000|1|1|1|1
3ff0000000000001|1|1|1|1
3ff0000000000002|1|1|1|1
3ff0000000000003|1|1|1|1
3ff0000000000004|1|1|1|1
bfeffffffffffffc|0|0|-1|-1
bfeffffffffffffd|0|0|-1|-1
bfeffffffffffffe|0|0|-1|-1
bfefffffffffffff|0|0|-1|-1
bff0000000000000|-1|-1|-1|-1
bff0000000000001|-1|-1|-1|-1
bff0000000000002|-1|-1|-1|-1
bff0000000000003|-1|-1|-1|-1
bff0000000000004|-1|-1|-1|-1
3ffe666666666662|1|1|1|1
3ffe666666666663|1|1|1|1
3ffe666666666664|1|1|1|1
3ffe666666666665|1|1|1|1
3ffe666666666666|1|1|1|1
3ffe666666666667|1|1|1|1
3ffe666666666668|1|1|1|1
3ffe666666666669|1|1|1|1
3ffe66666666666a|1|1|1|1
bffe666666666662|-1|-1|-1|-1
bffe666666666663|-1|-1|-1|-1
bffe666666666664|-1|-1|-1|-1
bffe666666666665|-1|-1|-1|-1
bffe666666666666|-1|-1|-1|-1
bffe666666666667|-1|-1|-1|-1
bffe666666666668|-1|-1|-1|-1
bffe666666666669|-1|-1|-1|-1
bffe66666666666a|-1|-1|-1|-1
433ffffffffffffc|9007199254740988|9007199254740988|9007199254740992|9007199254740992
433ffffffffffffd|9007199254740989|9007199254740989|9007199254740992|9007199254740992
433ffffffffffffe|9007199254740990|9007199254740990|9007199254740992|9007199254740992
